scenario_id,object_id,n_valid_steps,pose_minADE,npose_minADE,ade_delta,ade_delta_pct,pose_minFDE,npose_minFDE,fde_delta,fde_delta_pct
d5dcd2659aeefa41,1039,80,0.27558833,1.0566449,0.7810566,73.91855,0.742735,2.3175712,1.5748361,67.952
434eb20314b13b2c,4889,80,0.8565613,1.6371739,0.7806126,47.680492,1.840343,3.9301734,2.0898304,53.174
e29bd3fdeb762c10,3755,76,0.35756838,1.1380866,0.7805182,68.58162,0.6086461,2.5832207,1.9745746,76.43848
cbb6efec9852807,921,79,0.341622,1.1217171,0.7800951,69.54472,0.67040277,2.4875276,1.8171248,73.04943
65d3c61c276660a8,2600,80,1.0995939,1.8796476,0.78005373,41.5,2.0735111,3.8474674,1.7739563,46.107117
380c94b201710e16,2420,77,0.08120289,0.858145,0.77694213,90.53739,0.072345175,1.8633583,1.7910131,96.117485
427faea7e6e98758,2958,66,2.5928178,3.3693936,0.7765758,23.047941,5.5731063,7.338145,1.7650385,24.052925
3f5c25d7205f8dff,4530,80,1.905575,2.6818805,0.77630544,28.94631,3.6832583,5.8544483,2.17119,37.08616
3abe666aa823803f,4656,80,1.3262126,2.1016035,0.77539086,36.895203,2.878029,4.5420146,1.6639855,36.635406
f4039d06efce7f88,971,80,0.49452192,1.2695336,0.7750117,61.046963,1.0154167,3.0346236,2.019207,66.53896
acce09983a2db616,641,80,0.552865,1.3264447,0.7735797,58.319782,1.3126527,3.0804315,1.7677788,57.387375
cf7373408f2222b5,1016,80,0.87628096,1.6498048,0.77352387,46.88578,1.9082563,3.673924,1.7656677,48.059452
47e2f206342b3f2,8919,80,1.2177385,1.9889927,0.7712542,38.77612,2.656315,4.3875823,1.7312672,39.45834
367e2c6f8db20161,1650,80,0.31076857,1.0815856,0.77081704,71.26731,0.8051088,2.5607674,1.7556586,68.55986
c60661ef18cded78,2024,80,0.28434747,1.0539619,0.7696144,73.02109,0.6317176,1.9693264,1.3376088,67.92215
911736add85f437d,3482,80,0.81252337,1.5820782,0.76955485,48.642025,1.9039968,3.636749,1.7327522,47.645638
b105ad93932c7b7f,55,80,0.4352235,1.2017217,0.7664982,63.78334,1.0445751,2.354831,1.3102559,55.641186
55ad95e0bdba6b6,6480,80,1.0017359,1.767108,0.76537204,43.312126,2.27355,3.876684,1.6031339,41.353226
74c00c0afee5e879,296,80,0.3335114,1.0988233,0.7653119,69.648315,0.5416275,1.7847326,1.243105,69.652176
8583371c8eab1563,134,80,0.7212622,1.4833419,0.7620797,51.37586,1.4989475,3.1971424,1.6981949,53.116024
f5ee22ec38ade4e5,3825,79,0.86812437,1.6294671,0.76134276,46.72342,1.809802,3.5483024,1.7385004,48.99527
d4fe81ab4c846d50,2483,80,0.9888762,1.7494996,0.76062334,43.476624,2.3320615,4.1050515,1.77299,43.190445
8d3c1bb534e5521,4753,80,0.24827567,1.0069029,0.7586273,75.34264,0.33391306,2.1159348,1.7820218,84.219124
585cff22184d4c95,1368,80,0.7965499,1.5543042,0.7577543,48.751995,1.829607,3.3675473,1.5379403,45.66945
6e51d1234a15e720,7909,80,0.38254264,1.1401217,0.7575791,66.44721,1.3397181,2.5580537,1.2183356,47.627445
